"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ParkChanyeolINA HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해 #항상찬열이편 
@weareoneEXO
ᕕ( ・‿・)つ-●-●",FALSE,0,"ParkChanyeolINA",2021-11-27 13:45:59,FALSE,"1464588325042282499","1464591334505811974","986133314","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","agstteu2",0,FALSE,FALSE,NA,NA
"@X1X1NG HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"X1X1NG",2021-11-27 13:45:59,FALSE,"1464591067517526022","1464591332387794948","859108988683726851","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrParkHyunee",1,FALSE,FALSE,NA,NA
"@kkaebsong_ph @weareoneEXO HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해

@CuteSehun2… https://t.co/hBHCsvEESG",FALSE,0,"kkaebsong_ph",2021-11-27 13:45:58,TRUE,"1464408683345969154","1464591331624321038","1233372867091320836","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shimmie_kyoong",0,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #HappyVirus  
#항상찬열이편 @weareoneEXO",FALSE,0,"sehunfangirlll",2021-11-27 13:45:58,FALSE,"1464591311206453250","1464591329783017481","1224948281236545536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sehunfangirlll",0,FALSE,FALSE,NA,NA
"RT @king_chanyeol21: @27xCHANYEOL HAPPY CHANYEOL DAY🎉 #OurMeissaChanyeolDay 
#HappyChanyeolDay 
#찬열아생일축하해 
#항상찬열이편 
@weareoneEXO",FALSE,0,NA,2021-11-27 13:45:58,FALSE,NA,"1464591329145413632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waitingfrloey",1,TRUE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해 #항상찬열이편 
@weareoneEXO",FALSE,0,"4loeyksoo",2021-11-27 13:45:58,FALSE,"1464591285721964553","1464591328331722753","1395742114416271362","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4loeyksoo",0,FALSE,FALSE,NA,NA
"RT @no_loey_no_life: Our beautiful birthday boy ❤

#OurMeissaChanyeolDay 
#HappyChanyeolDay 
#찬열아생일축하해 
#항상찬열이편 
https://t.co/OL1uefHHEN",FALSE,0,NA,2021-11-27 13:45:58,FALSE,NA,"1464591327820058628",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","icterume63",1660,TRUE,FALSE,NA,NA
"@27xCHANYEOL HAPPY CHANYEOL DAY 

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 10",FALSE,0,"27xCHANYEOL",2021-11-27 13:45:57,FALSE,"1464590494470586377","1464591326737960962","1101886838279614464","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bilssomnim61",0,FALSE,FALSE,NA,NA
"RT @loeyx3: Op go to talk with Kim Juan’s mother today, she told her that Juan is really cute and he is good at acting so the mother told h…",FALSE,0,NA,2021-11-27 13:45:57,FALSE,NA,"1464591325605478406",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nanajuncotton",5,TRUE,FALSE,NA,NA
"RT @CassThailand: Happy Birthday Chanyeol! Always be happy and please know that EXOL will be here for you always ❤ #CHANYEOL #EXO_SC #EXO #…",FALSE,0,NA,2021-11-27 13:45:57,FALSE,NA,"1464591325022486533",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JebaYeol",174,TRUE,FALSE,NA,NA
"⚡️ D-149

~~happy loey day! 💛

#OurMeissaChanyeolDay 
#HappyChanyeolDay https://t.co/kYI4U7zO5i",FALSE,0,"myeonselu",2021-11-27 13:45:57,FALSE,"1464246087422660608","1464591323701284865","594548314","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myeonselu",0,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해… https://t.co/FL9MMYB6uO",FALSE,0,"_Bunnycitizen",2021-11-27 13:45:56,TRUE,"1464589741232300044","1464591322971402240","1366239308726689792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Bunnycitizen",0,FALSE,FALSE,NA,NA
"@MrParkHyunee HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"MrParkHyunee",2021-11-27 13:45:56,FALSE,"1464591264167432203","1464591322950606848","1262978030856802304","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","X1X1NG",0,FALSE,FALSE,NA,NA
